B_T,M_muB_per_Yb,n_pixels,source
0.7999198075380914,0.26583333333333337,4,visible_curve
0.8195669607056937,0.27092592592592596,3,visible_curve
0.8392141138732959,0.27569444444444446,4,visible_curve
0.8588612670408983,0.2801851851851852,3,visible_curve
0.8785084202085005,0.2851388888888889,4,visible_curve
0.9009623095429029,0.2906944444444444,4,visible_curve
0.9206094627105053,0.29518518518518516,3,visible_curve
0.9402566158781075,0.30000000000000004,4,visible_curve
0.9599037690457098,0.30444444444444446,3,visible_curve
0.979550922213312,0.30930555555555556,4,visible_curve
0.9991980753809142,0.3137037037037037,3,visible_curve
1.0188452285485163,0.31805555555555554,4,visible_curve
1.041299117882919,0.32305555555555554,4,visible_curve
1.0609462710505213,0.3277777777777778,3,visible_curve
1.0805934242181237,0.33166666666666667,4,visible_curve
1.1002405773857256,0.33574074074074073,3,visible_curve
1.119887730553328,0.34069444444444447,4,visible_curve
1.1395348837209303,0.34481481481481485,3,visible_curve
1.1591820368885326,0.34944444444444445,4,visible_curve
1.1788291900561347,0.3537037037037037,3,visible_curve
1.1984763432237369,0.3588888888888889,4,visible_curve
1.2209302325581395,0.36388888888888893,4,visible_curve
1.2405773857257418,0.3681481481481481,3,visible_curve
1.2602245388933442,0.3719444444444444,4,visible_curve
1.2798716920609463,0.37666666666666665,3,visible_curve
1.2995188452285484,0.3808333333333333,4,visible_curve
1.3191659983961508,0.385,3,visible_curve
1.3388131515637531,0.38916666666666666,4,visible_curve
1.3612670408981558,0.39375,4,visible_curve
1.3809141940657579,0.3977777777777778,3,visible_curve
1.40056134723336,0.40222222222222226,4,visible_curve
1.4202085004009621,0.4062962962962963,3,visible_curve
1.4398556535685647,0.41083333333333333,4,visible_curve
1.459502806736167,0.4146296296296296,3,visible_curve
1.479149959903769,0.41888888888888887,4,visible_curve
1.4987971130713713,0.42296296296296293,3,visible_curve
1.5184442662389737,0.42708333333333337,4,visible_curve
1.5408981555733763,0.43194444444444446,4,visible_curve
1.5605453087409782,0.4361111111111111,3,visible_curve
1.5801924619085805,0.4398611111111111,4,visible_curve
1.5998396150761829,0.44388888888888883,3,visible_curve
1.6194867682437852,0.4484722222222222,4,visible_curve
1.6391339214113874,0.45240740740740737,3,visible_curve
1.6587810745789895,0.45625,4,visible_curve
1.681234963913392,0.4613888888888889,4,visible_curve
1.7008821170809945,0.465,3,visible_curve
1.7205292702485968,0.46930555555555553,4,visible_curve
1.740176423416199,0.4735185185185185,3,visible_curve
1.759823576583801,0.4776388888888889,4,visible_curve
1.7794707297514034,0.48129629629629633,3,visible_curve
1.7991178829190058,0.48569444444444443,4,visible_curve
1.8215717722534082,0.4901388888888889,4,visible_curve
1.8412189254210105,0.49499999999999994,3,visible_curve
1.8608660785886126,0.49833333333333335,4,visible_curve
1.8805132317562148,0.5020370370370371,3,visible_curve
1.9001603849238173,0.5065277777777778,4,visible_curve
1.9198075380914197,0.5105555555555555,3,visible_curve
1.9394546912590216,0.5144444444444445,4,visible_curve
1.959101844426624,0.5185185185185185,3,visible_curve
1.9787489975942263,0.522361111111111,4,visible_curve
2.0012028869286285,0.5268055555555555,4,visible_curve
2.020850040096231,0.5309259259259259,3,visible_curve
2.040497193263833,0.5355555555555556,4,visible_curve
2.0601443464314353,0.5390740740740741,3,visible_curve
2.079791499599038,0.5429166666666667,4,visible_curve
2.09943865276664,0.5466666666666667,3,visible_curve
2.119085805934242,0.55125,4,visible_curve
2.1415396952686447,0.5554166666666667,4,visible_curve
2.161186848436247,0.5592592592592592,3,visible_curve
2.1808340016038494,0.5633333333333334,4,visible_curve
2.2004811547714516,0.5672222222222222,3,visible_curve
2.2201283079390537,0.5716666666666667,4,visible_curve
2.2397754611066563,0.5755555555555555,3,visible_curve
