B_T,M_muB_per_Yb,M_err_muB_per_Yb,T_sample_K,moment_column,mass_mg,source_file
0.455263,0.113889,8.65968e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.462588,0.115597,8.49569e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.469227,0.117283,8.88324e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.476225,0.119048,7.5024e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.483924,0.120682,7.60209e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.490557,0.122481,9.27161e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.496825,0.12426,8.77223e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.504852,0.125982,7.34239e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.510796,0.12773,8.28751e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.5192,0.12947,8.41501e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.524784,0.131194,8.4347e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.532811,0.132894,8.27837e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.538742,0.134587,9.05779e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.545738,0.136315,8.24096e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.552732,0.138059,7.79192e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.560782,0.13977,7.99135e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.566742,0.14151,8.64346e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.575166,0.143157,8.85719e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.581114,0.144927,7.75919e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.5881,0.146645,8.75136e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.594748,0.148363,8.58581e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.60243,0.150132,8.09918e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.610121,0.151824,8.47849e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.617083,0.153441,8.84329e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.623349,0.155195,9.01673e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.629628,0.156876,8.02746e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.637667,0.158629,9.0836e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.643609,0.160382,8.57364e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.652006,0.162101,8.82378e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.6583,0.16377,8.08489e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.664596,0.165512,8.48417e-05,2.5005,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.672616,0.167172,8.00407e-05,2.5004,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.67994,0.168875,8.66152e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.686595,0.170593,9.96994e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.69253,0.172342,7.95417e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.700218,0.173983,8.65993e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.707564,0.175691,9.27762e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.715603,0.177506,9.43274e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.720514,0.179235,8.98965e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.72754,0.180908,7.25937e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.734549,0.182548,8.09356e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.742584,0.184276,9.23129e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.748503,0.185931,8.4527e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.756518,0.187634,8.17568e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.76318,0.189359,8.33384e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.771212,0.191055,8.37434e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.776814,0.192807,7.91551e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.783474,0.194416,8.32972e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.790818,0.196177,8.44785e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
