# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
3.644829e-03 3.720002e-04 -3.080000e-01 5.750000e-01 5.000000e-01 0.000000e+00
3.040422e-03 3.399308e-04 -3.080000e-01 6.250000e-01 5.000000e-01 0.000000e+00
4.022594e-03 3.907103e-04 -3.080000e-01 6.750000e-01 5.000000e-01 0.000000e+00
3.058688e-03 3.377767e-04 -3.080000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.505372e-03 3.038224e-04 -3.080000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.626316e-03 3.095154e-04 -3.080000e-01 8.250000e-01 5.000000e-01 0.000000e+00
2.924395e-03 3.269586e-04 -3.080000e-01 8.750000e-01 5.000000e-01 0.000000e+00
2.234219e-03 2.837473e-04 -3.080000e-01 9.250000e-01 5.000000e-01 0.000000e+00
3.383445e-03 3.489775e-04 -3.080000e-01 9.750000e-01 5.000000e-01 0.000000e+00
2.356781e-03 2.901010e-04 -3.080000e-01 1.025000e+00 5.000000e-01 0.000000e+00
2.337676e-03 2.877495e-04 -3.080000e-01 1.075000e+00 5.000000e-01 0.000000e+00
1.798805e-03 2.494504e-04 -3.080000e-01 1.125000e+00 5.000000e-01 0.000000e+00
1.239303e-03 2.065516e-04 -3.080000e-01 1.175000e+00 5.000000e-01 0.000000e+00
1.512933e-03 2.280851e-04 -3.080000e-01 1.225000e+00 5.000000e-01 0.000000e+00
6.144149e-04 1.448195e-04 -3.080000e-01 1.275000e+00 5.000000e-01 0.000000e+00
9.445573e-04 1.785055e-04 -3.080000e-01 1.325000e+00 5.000000e-01 0.000000e+00
1.193322e-03 1.988880e-04 -3.080000e-01 1.375000e+00 5.000000e-01 0.000000e+00
9.787771e-04 1.787006e-04 -3.080000e-01 1.425000e+00 5.000000e-01 0.000000e+00
9.724863e-04 1.775524e-04 -3.080000e-01 1.475000e+00 5.000000e-01 0.000000e+00
5.813658e-04 1.370305e-04 -3.080000e-01 1.525000e+00 5.000000e-01 0.000000e+00
3.811880e-04 1.100400e-04 -3.080000e-01 1.575000e+00 5.000000e-01 0.000000e+00
8.138764e-04 1.596167e-04 -3.080000e-01 1.625000e+00 5.000000e-01 0.000000e+00
8.663302e-04 1.637234e-04 -3.080000e-01 1.675000e+00 5.000000e-01 0.000000e+00
9.787599e-04 1.730236e-04 -3.080000e-01 1.725000e+00 5.000000e-01 0.000000e+00
6.602919e-04 1.407760e-04 -3.080000e-01 1.775000e+00 5.000000e-01 0.000000e+00
4.169924e-04 1.114471e-04 -3.080000e-01 1.825000e+00 5.000000e-01 0.000000e+00
7.608476e-04 1.492157e-04 -3.080000e-01 1.875000e+00 5.000000e-01 0.000000e+00
7.474176e-04 1.465817e-04 -3.080000e-01 1.925000e+00 5.000000e-01 0.000000e+00
4.526344e-04 1.131603e-04 -3.080000e-01 1.975000e+00 5.000000e-01 0.000000e+00
4.992923e-04 1.176865e-04 -3.080000e-01 2.025000e+00 5.000000e-01 0.000000e+00
4.365990e-04 1.091506e-04 -3.080000e-01 2.075000e+00 5.000000e-01 0.000000e+00
4.288519e-04 1.072150e-04 -3.080000e-01 2.125000e+00 5.000000e-01 0.000000e+00
6.273774e-04 1.280656e-04 -3.080000e-01 2.175000e+00 5.000000e-01 0.000000e+00
6.188678e-04 1.263288e-04 -3.080000e-01 2.225000e+00 5.000000e-01 0.000000e+00
6.027786e-04 1.230440e-04 -3.080000e-01 2.275000e+00 5.000000e-01 0.000000e+00
4.423520e-04 1.042654e-04 -3.080000e-01 2.325000e+00 5.000000e-01 0.000000e+00
4.824852e-04 1.078898e-04 -3.080000e-01 2.375000e+00 5.000000e-01 0.000000e+00
3.732488e-04 9.331455e-05 -3.080000e-01 2.425000e+00 5.000000e-01 0.000000e+00
4.089072e-04 9.638282e-05 -3.080000e-01 2.475000e+00 5.000000e-01 0.000000e+00
3.979893e-04 9.381087e-05 -3.080000e-01 2.525000e+00 5.000000e-01 0.000000e+00
2.571455e-04 7.423599e-05 -3.080000e-01 2.575000e+00 5.000000e-01 0.000000e+00
5.360968e-04 1.051454e-04 -3.080000e-01 2.625000e+00 5.000000e-01 0.000000e+00
5.179870e-04 1.015936e-04 -3.080000e-01 2.675000e+00 5.000000e-01 0.000000e+00
6.133970e-04 1.084437e-04 -3.080000e-01 2.725000e+00 5.000000e-01 0.000000e+00
7.725964e-04 1.192252e-04 -3.080000e-01 2.775000e+00 5.000000e-01 0.000000e+00
9.082435e-04 1.259641e-04 -3.080000e-01 2.825000e+00 5.000000e-01 0.000000e+00
1.154075e-03 1.379595e-04 -3.080000e-01 2.875000e+00 5.000000e-01 0.000000e+00
4.739121e-01 4.367167e-03 -2.980000e-01 2.500000e-02 5.000000e-01 0.000000e+00
8.870197e-02 1.878371e-03 -2.980000e-01 7.500000e-02 5.000000e-01 0.000000e+00
7.658244e-03 5.526876e-04 -2.980000e-01 1.250000e-01 5.000000e-01 0.000000e+00
7.203763e-03 5.369381e-04 -2.980000e-01 1.750000e-01 5.000000e-01 0.000000e+00
4.932981e-03 4.429959e-04 -2.980000e-01 2.250000e-01 5.000000e-01 0.000000e+00
4.944452e-03 4.440263e-04 -2.980000e-01 2.750000e-01 5.000000e-01 0.000000e+00
4.446208e-03 4.201285e-04 -2.980000e-01 3.250000e-01 5.000000e-01 0.000000e+00
3.599526e-03 3.752776e-04 -2.980000e-01 3.750000e-01 5.000000e-01 0.000000e+00
4.357846e-03 4.081509e-04 -2.980000e-01 4.250000e-01 5.000000e-01 0.000000e+00
4.725646e-03 4.243769e-04 -2.980000e-01 4.750000e-01 5.000000e-01 0.000000e+00
4.917396e-03 4.312854e-04 -2.980000e-01 5.250000e-01 5.000000e-01 0.000000e+00
3.174318e-03 3.463476e-04 -2.980000e-01 5.750000e-01 5.000000e-01 0.000000e+00
4.176409e-03 3.982062e-04 -2.980000e-01 6.250000e-01 5.000000e-01 0.000000e+00
3.533149e-03 3.644176e-04 -2.980000e-01 6.750000e-01 5.000000e-01 0.000000e+00
2.620510e-03 3.132122e-04 -2.980000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.361794e-03 2.952255e-04 -2.980000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.182952e-03 2.818187e-04 -2.980000e-01 8.250000e-01 5.000000e-01 0.000000e+00
2.453485e-03 2.975296e-04 -2.980000e-01 8.750000e-01 5.000000e-01 0.000000e+00
2.889785e-03 3.230894e-04 -2.980000e-01 9.250000e-01 5.000000e-01 0.000000e+00
2.232178e-03 2.834875e-04 -2.980000e-01 9.750000e-01 5.000000e-01 0.000000e+00
2.479216e-03 2.963241e-04 -2.980000e-01 1.025000e+00 5.000000e-01 0.000000e+00
1.819799e-03 2.523619e-04 -2.980000e-01 1.075000e+00 5.000000e-01 0.000000e+00
