# Intensity Error [H,-0.5H,0] DeltaE [0,0,L] [0,K,0]
#  shape: 67x80x1x1
4.971849e-04 1.014876e-04 -3.030000e-01 4.750000e-01 0.000000e+00 5.000000e-01
2.940247e-04 7.858147e-05 -3.030000e-01 5.250000e-01 0.000000e+00 5.000000e-01
4.726087e-04 1.007606e-04 -3.030000e-01 5.750000e-01 0.000000e+00 5.000000e-01
6.943892e-04 1.227519e-04 -3.030000e-01 6.250000e-01 0.000000e+00 5.000000e-01
5.762411e-04 1.130103e-04 -3.030000e-01 6.750000e-01 0.000000e+00 5.000000e-01
6.236645e-04 1.178617e-04 -3.030000e-01 7.250000e-01 0.000000e+00 5.000000e-01
7.697559e-04 1.320122e-04 -3.030000e-01 7.750000e-01 0.000000e+00 5.000000e-01
8.356818e-04 1.392804e-04 -3.030000e-01 8.250000e-01 0.000000e+00 5.000000e-01
5.251125e-04 1.119545e-04 -3.030000e-01 8.750000e-01 0.000000e+00 5.000000e-01
4.460029e-04 1.051242e-04 -3.030000e-01 9.250000e-01 0.000000e+00 5.000000e-01
7.160669e-04 1.353242e-04 -3.030000e-01 9.750000e-01 0.000000e+00 5.000000e-01
7.392028e-04 1.396964e-04 -3.030000e-01 1.025000e+00 0.000000e+00 5.000000e-01
4.220056e-04 1.055016e-04 -3.030000e-01 1.075000e+00 0.000000e+00 5.000000e-01
7.923341e-04 1.446601e-04 -3.030000e-01 1.125000e+00 0.000000e+00 5.000000e-01
6.318793e-04 1.289822e-04 -3.030000e-01 1.175000e+00 0.000000e+00 5.000000e-01
1.012106e-03 1.641857e-04 -3.030000e-01 1.225000e+00 0.000000e+00 5.000000e-01
6.913377e-04 1.355830e-04 -3.030000e-01 1.275000e+00 0.000000e+00 5.000000e-01
4.212861e-04 1.053217e-04 -3.030000e-01 1.325000e+00 0.000000e+00 5.000000e-01
8.331117e-04 1.472753e-04 -3.030000e-01 1.375000e+00 0.000000e+00 5.000000e-01
1.189299e-03 1.753530e-04 -3.030000e-01 1.425000e+00 0.000000e+00 5.000000e-01
1.093231e-03 1.686897e-04 -3.030000e-01 1.475000e+00 0.000000e+00 5.000000e-01
9.836245e-04 1.595654e-04 -3.030000e-01 1.525000e+00 0.000000e+00 5.000000e-01
1.077689e-03 1.662914e-04 -3.030000e-01 1.575000e+00 0.000000e+00 5.000000e-01
8.196990e-04 1.449042e-04 -3.030000e-01 1.625000e+00 0.000000e+00 5.000000e-01
1.415842e-03 1.892004e-04 -3.030000e-01 1.675000e+00 0.000000e+00 5.000000e-01
1.650663e-03 2.031832e-04 -3.030000e-01 1.725000e+00 0.000000e+00 5.000000e-01
1.683654e-03 2.041738e-04 -3.030000e-01 1.775000e+00 0.000000e+00 5.000000e-01
2.168070e-03 2.311177e-04 -3.030000e-01 1.825000e+00 0.000000e+00 5.000000e-01
2.438740e-03 2.438749e-04 -3.030000e-01 1.875000e+00 0.000000e+00 5.000000e-01
2.482489e-03 2.458038e-04 -3.030000e-01 1.925000e+00 0.000000e+00 5.000000e-01
2.431172e-03 2.431180e-04 -3.030000e-01 1.975000e+00 0.000000e+00 5.000000e-01
3.230841e-03 2.791030e-04 -3.030000e-01 2.025000e+00 0.000000e+00 5.000000e-01
3.592958e-03 2.914283e-04 -3.030000e-01 2.075000e+00 0.000000e+00 5.000000e-01
3.526055e-03 2.879024e-04 -3.030000e-01 2.125000e+00 0.000000e+00 5.000000e-01
2.179595e-03 2.248092e-04 -3.030000e-01 2.175000e+00 0.000000e+00 5.000000e-01
1.422260e-03 1.806280e-04 -3.030000e-01 2.225000e+00 0.000000e+00 5.000000e-01
1.878105e-03 2.074027e-04 -3.030000e-01 2.275000e+00 0.000000e+00 5.000000e-01
1.548571e-03 1.877925e-04 -3.030000e-01 2.325000e+00 0.000000e+00 5.000000e-01
1.441087e-03 1.801364e-04 -3.030000e-01 2.375000e+00 0.000000e+00 5.000000e-01
1.378880e-03 1.751190e-04 -3.030000e-01 2.425000e+00 0.000000e+00 5.000000e-01
1.090583e-03 1.542321e-04 -3.030000e-01 2.475000e+00 0.000000e+00 5.000000e-01
1.167345e-03 1.588565e-04 -3.030000e-01 2.525000e+00 0.000000e+00 5.000000e-01
1.764294e-03 1.948350e-04 -3.030000e-01 2.575000e+00 0.000000e+00 5.000000e-01
9.358872e-04 1.410909e-04 -3.030000e-01 2.625000e+00 0.000000e+00 5.000000e-01
1.049562e-03 1.484315e-04 -3.030000e-01 2.675000e+00 0.000000e+00 5.000000e-01
9.962196e-04 1.437927e-04 -3.030000e-01 2.725000e+00 0.000000e+00 5.000000e-01
6.538179e-04 1.155802e-04 -3.030000e-01 2.775000e+00 0.000000e+00 5.000000e-01
1.051871e-03 1.458693e-04 -3.030000e-01 2.825000e+00 0.000000e+00 5.000000e-01
6.788828e-04 1.164286e-04 -3.030000e-01 2.875000e+00 0.000000e+00 5.000000e-01
4.317495e-04 9.205032e-05 -3.030000e-01 2.925000e+00 0.000000e+00 5.000000e-01
8.101652e-04 1.250126e-04 -3.030000e-01 2.975000e+00 0.000000e+00 5.000000e-01
6.082494e-04 1.075252e-04 -3.030000e-01 3.025000e+00 0.000000e+00 5.000000e-01
5.255516e-04 9.932091e-05 -3.030000e-01 3.075000e+00 0.000000e+00 5.000000e-01
7.401043e-04 1.170223e-04 -3.030000e-01 3.125000e+00 0.000000e+00 5.000000e-01
4.712234e-04 9.241602e-05 -3.030000e-01 3.175000e+00 0.000000e+00 5.000000e-01
4.284719e-04 8.746187e-05 -3.030000e-01 3.225000e+00 0.000000e+00 5.000000e-01
5.572279e-04 9.850599e-05 -3.030000e-01 3.275000e+00 0.000000e+00 5.000000e-01
3.074516e-04 7.246875e-05 -3.030000e-01 3.325000e+00 0.000000e+00 5.000000e-01
2.675348e-04 6.688432e-05 -3.030000e-01 3.375000e+00 0.000000e+00 5.000000e-01
3.906665e-04 7.974548e-05 -3.030000e-01 3.425000e+00 0.000000e+00 5.000000e-01
2.827807e-04 6.665338e-05 -3.030000e-01 3.475000e+00 0.000000e+00 5.000000e-01
3.304571e-04 7.045541e-05 -3.030000e-01 3.525000e+00 0.000000e+00 5.000000e-01
4.296281e-04 7.844121e-05 -3.030000e-01 3.575000e+00 0.000000e+00 5.000000e-01
4.615984e-04 7.916549e-05 -3.030000e-01 3.625000e+00 0.000000e+00 5.000000e-01
4.610566e-04 7.684459e-05 -3.030000e-01 3.675000e+00 0.000000e+00 5.000000e-01
2.653174e-04 5.656724e-05 -3.030000e-01 3.725000e+00 0.000000e+00 5.000000e-01
5.465339e-04 7.888753e-05 -3.030000e-01 3.775000e+00 0.000000e+00 5.000000e-01
4.755978e-04 7.170017e-05 -3.030000e-01 3.825000e+00 0.000000e+00 5.000000e-01
4.156107e-04 6.571698e-05 -3.030000e-01 3.875000e+00 0.000000e+00 5.000000e-01
5.249815e-04 7.280626e-05 -3.030000e-01 3.925000e+00 0.000000e+00 5.000000e-01
4.454262e-04 6.567814e-05 -3.030000e-01 3.975000e+00 0.000000e+00 5.000000e-01
3.244405e-01 2.410352e-03 -2.830000e-01 2.500000e-02 0.000000e+00 5.000000e-01
1.891846e-01 1.838914e-03 -2.830000e-01 7.500000e-02 0.000000e+00 5.000000e-01
6.162889e-02 1.054141e-03 -2.830000e-01 1.250000e-01 0.000000e+00 5.000000e-01
2.942240e-02 7.406707e-04 -2.830000e-01 1.750000e-01 0.000000e+00 5.000000e-01
1.234168e-02 4.782308e-04 -2.830000e-01 2.250000e-01 0.000000e+00 5.000000e-01
2.782498e-03 2.287202e-04 -2.830000e-01 2.750000e-01 0.000000e+00 5.000000e-01
1.028475e-03 1.399579e-04 -2.830000e-01 3.250000e-01 0.000000e+00 5.000000e-01
5.003033e-04 9.811772e-05 -2.830000e-01 3.750000e-01 0.000000e+00 5.000000e-01
5.050266e-04 9.904402e-05 -2.830000e-01 4.250000e-01 0.000000e+00 5.000000e-01
4.725288e-04 9.645469e-05 -2.830000e-01 4.750000e-01 0.000000e+00 5.000000e-01
4.370765e-04 9.318516e-05 -2.830000e-01 5.250000e-01 0.000000e+00 5.000000e-01
4.412983e-04 9.408522e-05 -2.830000e-01 5.750000e-01 0.000000e+00 5.000000e-01
