# Intensity Error [-0.5K,K,0] DeltaE [0,0,L] [H,0,0]
#  shape: 67x80x1x1
2.155228e-03 2.932900e-04 -3.030000e-01 1.125000e+00 0.000000e+00 5.000000e-01
1.511489e-03 2.451964e-04 -3.030000e-01 1.175000e+00 0.000000e+00 5.000000e-01
2.010368e-03 2.843096e-04 -3.030000e-01 1.225000e+00 0.000000e+00 5.000000e-01
1.361889e-03 2.335627e-04 -3.030000e-01 1.275000e+00 0.000000e+00 5.000000e-01
1.427403e-03 2.379010e-04 -3.030000e-01 1.325000e+00 0.000000e+00 5.000000e-01
1.332750e-03 2.285653e-04 -3.030000e-01 1.375000e+00 0.000000e+00 5.000000e-01
1.012232e-03 1.985157e-04 -3.030000e-01 1.425000e+00 0.000000e+00 5.000000e-01
1.569215e-03 2.481150e-04 -3.030000e-01 1.475000e+00 0.000000e+00 5.000000e-01
9.327058e-04 1.903881e-04 -3.030000e-01 1.525000e+00 0.000000e+00 5.000000e-01
1.081592e-03 2.044021e-04 -3.030000e-01 1.575000e+00 0.000000e+00 5.000000e-01
6.177647e-04 1.544416e-04 -3.030000e-01 1.625000e+00 0.000000e+00 5.000000e-01
3.801274e-04 1.202070e-04 -3.030000e-01 1.675000e+00 0.000000e+00 5.000000e-01
6.780212e-04 1.598114e-04 -3.030000e-01 1.725000e+00 0.000000e+00 5.000000e-01
1.044743e-03 1.974383e-04 -3.030000e-01 1.775000e+00 0.000000e+00 5.000000e-01
5.930359e-04 1.482594e-04 -3.030000e-01 1.825000e+00 0.000000e+00 5.000000e-01
1.027961e-03 1.942669e-04 -3.030000e-01 1.875000e+00 0.000000e+00 5.000000e-01
1.171431e-03 2.070823e-04 -3.030000e-01 1.925000e+00 0.000000e+00 5.000000e-01
1.097800e-03 2.004307e-04 -3.030000e-01 1.975000e+00 0.000000e+00 5.000000e-01
1.959661e-03 2.666769e-04 -3.030000e-01 2.025000e+00 0.000000e+00 5.000000e-01
2.063758e-03 2.709860e-04 -3.030000e-01 2.075000e+00 0.000000e+00 5.000000e-01
1.133302e-03 2.003420e-04 -3.030000e-01 2.125000e+00 0.000000e+00 5.000000e-01
6.974190e-04 1.559482e-04 -3.030000e-01 2.175000e+00 0.000000e+00 5.000000e-01
3.452667e-04 1.091832e-04 -3.030000e-01 2.225000e+00 0.000000e+00 5.000000e-01
4.824054e-04 1.289288e-04 -3.030000e-01 2.275000e+00 0.000000e+00 5.000000e-01
6.189123e-04 1.458796e-04 -3.030000e-01 2.325000e+00 0.000000e+00 5.000000e-01
2.040074e-04 8.328580e-05 -3.030000e-01 2.375000e+00 0.000000e+00 5.000000e-01
7.366790e-04 1.570611e-04 -3.030000e-01 2.425000e+00 0.000000e+00 5.000000e-01
2.616064e-04 9.249193e-05 -3.030000e-01 2.475000e+00 0.000000e+00 5.000000e-01
3.908175e-04 1.128201e-04 -3.030000e-01 2.525000e+00 0.000000e+00 5.000000e-01
3.880968e-04 1.120345e-04 -3.030000e-01 2.575000e+00 0.000000e+00 5.000000e-01
3.212972e-04 1.016041e-04 -3.030000e-01 2.625000e+00 0.000000e+00 5.000000e-01
1.263233e-04 6.316176e-05 -3.030000e-01 2.675000e+00 0.000000e+00 5.000000e-01
1.246331e-04 6.231706e-05 -3.030000e-01 2.725000e+00 0.000000e+00 5.000000e-01
4.903423e-04 1.225862e-04 -3.030000e-01 2.775000e+00 0.000000e+00 5.000000e-01
3.656256e-04 1.055477e-04 -3.030000e-01 2.825000e+00 0.000000e+00 5.000000e-01
4.209782e-04 1.125122e-04 -3.030000e-01 2.875000e+00 0.000000e+00 5.000000e-01
2.957712e-04 9.353249e-05 -3.030000e-01 2.925000e+00 0.000000e+00 5.000000e-01
2.315348e-04 8.186056e-05 -3.030000e-01 2.975000e+00 0.000000e+00 5.000000e-01
2.871620e-04 9.080921e-05 -3.030000e-01 3.025000e+00 0.000000e+00 5.000000e-01
5.082537e-04 1.197988e-04 -3.030000e-01 3.075000e+00 0.000000e+00 5.000000e-01
3.326410e-04 9.602595e-05 -3.030000e-01 3.125000e+00 0.000000e+00 5.000000e-01
2.188077e-04 7.736078e-05 -3.030000e-01 3.175000e+00 0.000000e+00 5.000000e-01
2.677846e-04 8.468222e-05 -3.030000e-01 3.225000e+00 0.000000e+00 5.000000e-01
4.183594e-04 1.045913e-04 -3.030000e-01 3.275000e+00 0.000000e+00 5.000000e-01
3.103059e-04 8.957970e-05 -3.030000e-01 3.325000e+00 0.000000e+00 5.000000e-01
4.021746e-04 1.005452e-04 -3.030000e-01 3.375000e+00 0.000000e+00 5.000000e-01
3.896227e-04 9.740637e-05 -3.030000e-01 3.425000e+00 0.000000e+00 5.000000e-01
1.406600e-04 5.742425e-05 -3.030000e-01 3.475000e+00 0.000000e+00 5.000000e-01
3.634897e-04 9.087521e-05 -3.030000e-01 3.525000e+00 0.000000e+00 5.000000e-01
1.312141e-04 5.356799e-05 -3.030000e-01 3.575000e+00 0.000000e+00 5.000000e-01
4.658688e-04 9.932541e-05 -3.030000e-01 3.625000e+00 0.000000e+00 5.000000e-01
2.895587e-04 7.738941e-05 -3.030000e-01 3.675000e+00 0.000000e+00 5.000000e-01
6.027692e-04 1.100532e-04 -3.030000e-01 3.725000e+00 0.000000e+00 5.000000e-01
1.567136e-04 5.540968e-05 -3.030000e-01 3.775000e+00 0.000000e+00 5.000000e-01
5.585162e-04 1.019761e-04 -3.030000e-01 3.825000e+00 0.000000e+00 5.000000e-01
5.787039e-04 1.023060e-04 -3.030000e-01 3.875000e+00 0.000000e+00 5.000000e-01
5.666931e-04 1.001824e-04 -3.030000e-01 3.925000e+00 0.000000e+00 5.000000e-01
4.737585e-04 8.953741e-05 -3.030000e-01 3.975000e+00 0.000000e+00 5.000000e-01
3.285736e-01 3.191091e-03 -2.830000e-01 2.500000e-02 0.000000e+00 5.000000e-01
2.026609e-01 2.506003e-03 -2.830000e-01 7.500000e-02 0.000000e+00 5.000000e-01
7.003677e-02 1.473888e-03 -2.830000e-01 1.250000e-01 0.000000e+00 5.000000e-01
3.703591e-02 1.087413e-03 -2.830000e-01 1.750000e-01 0.000000e+00 5.000000e-01
1.965993e-02 7.895628e-04 -2.830000e-01 2.250000e-01 0.000000e+00 5.000000e-01
1.051026e-02 5.803325e-04 -2.830000e-01 2.750000e-01 0.000000e+00 5.000000e-01
6.811043e-03 4.700072e-04 -2.830000e-01 3.250000e-01 0.000000e+00 5.000000e-01
7.768461e-03 5.035553e-04 -2.830000e-01 3.750000e-01 0.000000e+00 5.000000e-01
7.004100e-03 4.787910e-04 -2.830000e-01 4.250000e-01 0.000000e+00 5.000000e-01
6.491102e-03 4.636507e-04 -2.830000e-01 4.750000e-01 0.000000e+00 5.000000e-01
6.861703e-03 4.780782e-04 -2.830000e-01 5.250000e-01 0.000000e+00 5.000000e-01
6.240400e-03 4.575689e-04 -2.830000e-01 5.750000e-01 0.000000e+00 5.000000e-01
5.135853e-03 4.165735e-04 -2.830000e-01 6.250000e-01 0.000000e+00 5.000000e-01
5.961750e-03 4.493846e-04 -2.830000e-01 6.750000e-01 0.000000e+00 5.000000e-01
5.021670e-03 4.155971e-04 -2.830000e-01 7.250000e-01 0.000000e+00 5.000000e-01
5.357361e-03 4.317091e-04 -2.830000e-01 7.750000e-01 0.000000e+00 5.000000e-01
4.655579e-03 4.021813e-04 -2.830000e-01 8.250000e-01 0.000000e+00 5.000000e-01
3.723961e-03 3.583389e-04 -2.830000e-01 8.750000e-01 0.000000e+00 5.000000e-01
4.140435e-03 3.811586e-04 -2.830000e-01 9.250000e-01 0.000000e+00 5.000000e-01
3.428493e-03 3.499198e-04 -2.830000e-01 9.750000e-01 0.000000e+00 5.000000e-01
2.945397e-03 3.252653e-04 -2.830000e-01 1.025000e+00 0.000000e+00 5.000000e-01
2.219449e-03 2.818707e-04 -2.830000e-01 1.075000e+00 0.000000e+00 5.000000e-01
2.609106e-03 3.074867e-04 -2.830000e-01 1.125000e+00 0.000000e+00 5.000000e-01
2.378941e-03 2.928279e-04 -2.830000e-01 1.175000e+00 0.000000e+00 5.000000e-01
1.609599e-03 2.426567e-04 -2.830000e-01 1.225000e+00 0.000000e+00 5.000000e-01
1.910226e-03 2.649013e-04 -2.830000e-01 1.275000e+00 0.000000e+00 5.000000e-01
1.463679e-03 2.314286e-04 -2.830000e-01 1.325000e+00 0.000000e+00 5.000000e-01
1.539468e-03 2.375456e-04 -2.830000e-01 1.375000e+00 0.000000e+00 5.000000e-01
1.473955e-03 2.330531e-04 -2.830000e-01 1.425000e+00 0.000000e+00 5.000000e-01
1.423874e-03 2.309833e-04 -2.830000e-01 1.475000e+00 0.000000e+00 5.000000e-01
1.351933e-03 2.253228e-04 -2.830000e-01 1.525000e+00 0.000000e+00 5.000000e-01
7.488115e-04 1.674396e-04 -2.830000e-01 1.575000e+00 0.000000e+00 5.000000e-01
8.256974e-04 1.760397e-04 -2.830000e-01 1.625000e+00 0.000000e+00 5.000000e-01
8.168619e-04 1.741558e-04 -2.830000e-01 1.675000e+00 0.000000e+00 5.000000e-01
6.661001e-04 1.570016e-04 -2.830000e-01 1.725000e+00 0.000000e+00 5.000000e-01
1.103423e-03 2.014572e-04 -2.830000e-01 1.775000e+00 0.000000e+00 5.000000e-01
8.771652e-04 1.790511e-04 -2.830000e-01 1.825000e+00 0.000000e+00 5.000000e-01
1.447477e-03 2.288667e-04 -2.830000e-01 1.875000e+00 0.000000e+00 5.000000e-01
1.014635e-03 1.917485e-04 -2.830000e-01 1.925000e+00 0.000000e+00 5.000000e-01
1.300381e-03 2.167306e-04 -2.830000e-01 1.975000e+00 0.000000e+00 5.000000e-01
2.285433e-03 2.856803e-04 -2.830000e-01 2.025000e+00 0.000000e+00 5.000000e-01
2.189984e-03 2.781293e-04 -2.830000e-01 2.075000e+00 0.000000e+00 5.000000e-01
1.818035e-03 2.521170e-04 -2.830000e-01 2.125000e+00 0.000000e+00 5.000000e-01
9.614374e-04 1.816953e-04 -2.830000e-01 2.175000e+00 0.000000e+00 5.000000e-01
