# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
1.036465e-03 1.599340e-04 -3.180000e-01 2.325000e+00 5.000000e-01 0.000000e+00
5.285003e-04 1.126794e-04 -3.180000e-01 2.375000e+00 5.000000e-01 0.000000e+00
3.727380e-04 9.318652e-05 -3.180000e-01 2.425000e+00 5.000000e-01 0.000000e+00
4.552652e-04 1.018043e-04 -3.180000e-01 2.475000e+00 5.000000e-01 0.000000e+00
5.763612e-04 1.130388e-04 -3.180000e-01 2.525000e+00 5.000000e-01 0.000000e+00
3.448676e-04 8.621975e-05 -3.180000e-01 2.575000e+00 5.000000e-01 0.000000e+00
8.699497e-04 1.342422e-04 -3.180000e-01 2.625000e+00 5.000000e-01 0.000000e+00
5.238028e-04 1.027299e-04 -3.180000e-01 2.675000e+00 5.000000e-01 0.000000e+00
7.341063e-04 1.190954e-04 -3.180000e-01 2.725000e+00 5.000000e-01 0.000000e+00
5.549213e-04 1.013223e-04 -3.180000e-01 2.775000e+00 5.000000e-01 0.000000e+00
8.091672e-04 1.193158e-04 -3.180000e-01 2.825000e+00 5.000000e-01 0.000000e+00
6.998818e-04 1.080073e-04 -3.180000e-01 2.875000e+00 5.000000e-01 0.000000e+00
4.839552e-01 4.418632e-03 -3.080000e-01 2.500000e-02 5.000000e-01 0.000000e+00
7.847670e-02 1.767209e-03 -3.080000e-01 7.500000e-02 5.000000e-01 0.000000e+00
3.548574e-03 3.782802e-04 -3.080000e-01 1.250000e-01 5.000000e-01 0.000000e+00
1.902582e-03 2.746149e-04 -3.080000e-01 1.750000e-01 5.000000e-01 0.000000e+00
2.377752e-03 3.069672e-04 -3.080000e-01 2.250000e-01 5.000000e-01 0.000000e+00
1.960403e-03 2.772434e-04 -3.080000e-01 2.750000e-01 5.000000e-01 0.000000e+00
1.467178e-03 2.380083e-04 -3.080000e-01 3.250000e-01 5.000000e-01 0.000000e+00
9.357706e-04 1.910140e-04 -3.080000e-01 3.750000e-01 5.000000e-01 0.000000e+00
1.314668e-03 2.254644e-04 -3.080000e-01 4.250000e-01 5.000000e-01 0.000000e+00
1.841880e-03 2.658532e-04 -3.080000e-01 4.750000e-01 5.000000e-01 0.000000e+00
1.590500e-03 2.454203e-04 -3.080000e-01 5.250000e-01 5.000000e-01 0.000000e+00
1.971038e-03 2.733344e-04 -3.080000e-01 5.750000e-01 5.000000e-01 0.000000e+00
1.214647e-03 2.147223e-04 -3.080000e-01 6.250000e-01 5.000000e-01 0.000000e+00
1.364274e-03 2.273798e-04 -3.080000e-01 6.750000e-01 5.000000e-01 0.000000e+00
2.091467e-03 2.794851e-04 -3.080000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.432607e-03 2.994343e-04 -3.080000e-01 7.750000e-01 5.000000e-01 0.000000e+00
1.898818e-03 2.633197e-04 -3.080000e-01 8.250000e-01 5.000000e-01 0.000000e+00
1.900359e-03 2.635336e-04 -3.080000e-01 8.750000e-01 5.000000e-01 0.000000e+00
2.595616e-03 3.058977e-04 -3.080000e-01 9.250000e-01 5.000000e-01 0.000000e+00
2.948602e-03 3.256203e-04 -3.080000e-01 9.750000e-01 5.000000e-01 0.000000e+00
2.069114e-03 2.716890e-04 -3.080000e-01 1.025000e+00 5.000000e-01 0.000000e+00
2.689934e-03 3.085579e-04 -3.080000e-01 1.075000e+00 5.000000e-01 0.000000e+00
3.112490e-03 3.280872e-04 -3.080000e-01 1.125000e+00 5.000000e-01 0.000000e+00
1.927599e-03 2.575872e-04 -3.080000e-01 1.175000e+00 5.000000e-01 0.000000e+00
2.815254e-03 3.108950e-04 -3.080000e-01 1.225000e+00 5.000000e-01 0.000000e+00
2.316552e-03 2.809245e-04 -3.080000e-01 1.275000e+00 5.000000e-01 0.000000e+00
2.021186e-03 2.609358e-04 -3.080000e-01 1.325000e+00 5.000000e-01 0.000000e+00
1.654273e-03 2.339512e-04 -3.080000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.631805e-03 2.307738e-04 -3.080000e-01 1.425000e+00 5.000000e-01 0.000000e+00
1.552846e-03 2.241355e-04 -3.080000e-01 1.475000e+00 5.000000e-01 0.000000e+00
1.293927e-03 2.045890e-04 -3.080000e-01 1.525000e+00 5.000000e-01 0.000000e+00
1.209021e-03 1.961309e-04 -3.080000e-01 1.575000e+00 5.000000e-01 0.000000e+00
1.252022e-03 1.979641e-04 -3.080000e-01 1.625000e+00 5.000000e-01 0.000000e+00
1.298671e-03 2.003921e-04 -3.080000e-01 1.675000e+00 5.000000e-01 0.000000e+00
1.283610e-03 1.980672e-04 -3.080000e-01 1.725000e+00 5.000000e-01 0.000000e+00
1.378184e-03 2.032041e-04 -3.080000e-01 1.775000e+00 5.000000e-01 0.000000e+00
1.124660e-03 1.824460e-04 -3.080000e-01 1.825000e+00 5.000000e-01 0.000000e+00
1.171612e-03 1.852496e-04 -3.080000e-01 1.875000e+00 5.000000e-01 0.000000e+00
8.028718e-04 1.517303e-04 -3.080000e-01 1.925000e+00 5.000000e-01 0.000000e+00
1.302164e-03 1.919966e-04 -3.080000e-01 1.975000e+00 5.000000e-01 0.000000e+00
1.444717e-03 2.003478e-04 -3.080000e-01 2.025000e+00 5.000000e-01 0.000000e+00
6.575768e-04 1.342295e-04 -3.080000e-01 2.075000e+00 5.000000e-01 0.000000e+00
4.299456e-04 1.074887e-04 -3.080000e-01 2.125000e+00 5.000000e-01 0.000000e+00
8.884903e-04 1.523770e-04 -3.080000e-01 2.175000e+00 5.000000e-01 0.000000e+00
6.716283e-04 1.317190e-04 -3.080000e-01 2.225000e+00 5.000000e-01 0.000000e+00
5.518959e-04 1.176664e-04 -3.080000e-01 2.275000e+00 5.000000e-01 0.000000e+00
5.397159e-04 1.150698e-04 -3.080000e-01 2.325000e+00 5.000000e-01 0.000000e+00
6.736872e-04 1.273186e-04 -3.080000e-01 2.375000e+00 5.000000e-01 0.000000e+00
5.135172e-04 1.094853e-04 -3.080000e-01 2.425000e+00 5.000000e-01 0.000000e+00
4.955260e-04 1.056498e-04 -3.080000e-01 2.475000e+00 5.000000e-01 0.000000e+00
5.707537e-04 1.119385e-04 -3.080000e-01 2.525000e+00 5.000000e-01 0.000000e+00
5.541752e-04 1.086870e-04 -3.080000e-01 2.575000e+00 5.000000e-01 0.000000e+00
2.912327e-04 7.783723e-05 -3.080000e-01 2.625000e+00 5.000000e-01 0.000000e+00
5.198818e-04 1.019626e-04 -3.080000e-01 2.675000e+00 5.000000e-01 0.000000e+00
6.915362e-04 1.152628e-04 -3.080000e-01 2.725000e+00 5.000000e-01 0.000000e+00
5.516853e-04 1.007356e-04 -3.080000e-01 2.775000e+00 5.000000e-01 0.000000e+00
7.680565e-04 1.158054e-04 -3.080000e-01 2.825000e+00 5.000000e-01 0.000000e+00
9.854172e-04 1.272298e-04 -3.080000e-01 2.875000e+00 5.000000e-01 0.000000e+00
4.824992e-01 4.403503e-03 -2.980000e-01 2.500000e-02 5.000000e-01 0.000000e+00
8.424683e-02 1.827143e-03 -2.980000e-01 7.500000e-02 5.000000e-01 0.000000e+00
2.938709e-03 3.416187e-04 -2.980000e-01 1.250000e-01 5.000000e-01 0.000000e+00
2.389161e-03 3.084403e-04 -2.980000e-01 1.750000e-01 5.000000e-01 0.000000e+00
2.132484e-03 2.901950e-04 -2.980000e-01 2.250000e-01 5.000000e-01 0.000000e+00
1.188019e-03 2.169019e-04 -2.980000e-01 2.750000e-01 5.000000e-01 0.000000e+00
1.494560e-03 2.424503e-04 -2.980000e-01 3.250000e-01 5.000000e-01 0.000000e+00
1.378967e-03 2.298287e-04 -2.980000e-01 3.750000e-01 5.000000e-01 0.000000e+00
