# Intensity Error DeltaE [H,0,0] [0,K,0] [0,0,L]
#  shape: 58x1x1x1
2.037461e-03 3.287106e-05 1.425000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.979940e-03 3.219546e-05 1.475000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.823688e-03 3.072105e-05 1.525000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.784461e-03 3.020633e-05 1.575000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.683072e-03 2.914899e-05 1.625000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.566317e-03 2.792572e-05 1.675000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.581168e-03 2.786469e-05 1.725000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.435783e-03 2.636381e-05 1.775000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.332754e-03 2.522305e-05 1.825000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.297893e-03 2.470528e-05 1.875000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.220254e-03 2.376748e-05 1.925000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.117467e-03 2.256736e-05 1.975000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.043443e-03 2.164500e-05 2.025000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.907629e-04 1.983921e-05 2.075000e+00 5.000000e-01 0.000000e+00 0.000000e+00
9.043691e-04 1.982998e-05 2.125000e+00 5.000000e-01 0.000000e+00 0.000000e+00
7.783143e-04 1.824433e-05 2.175000e+00 5.000000e-01 0.000000e+00 0.000000e+00
6.454492e-04 1.649081e-05 2.225000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.884200e-04 1.560445e-05 2.275000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.556226e-04 1.501171e-05 2.325000e+00 5.000000e-01 0.000000e+00 0.000000e+00
4.900060e-04 1.393810e-05 2.375000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.142860e-04 1.409182e-05 2.425000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.038859e-04 1.372471e-05 2.475000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.842842e-04 1.450828e-05 2.525000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.569835e-04 1.389057e-05 2.575000e+00 5.000000e-01 0.000000e+00 0.000000e+00
5.926037e-04 1.402318e-05 2.625000e+00 5.000000e-01 0.000000e+00 0.000000e+00
6.318545e-04 1.412963e-05 2.675000e+00 5.000000e-01 0.000000e+00 0.000000e+00
6.801626e-04 1.425179e-05 2.725000e+00 5.000000e-01 0.000000e+00 0.000000e+00
7.459782e-04 1.443264e-05 2.775000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.853844e-04 1.513695e-05 2.825000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.092826e-03 1.628211e-05 2.875000e+00 5.000000e-01 0.000000e+00 0.000000e+00
